NH Hoteles;IMP_0132_16;22/04/2014;01/01/2010;BEC;Swift Fileact;1,00E+10;Producción;Finalizado;OK;00000031.CSP;Adeudos directos 19.14 (Sepa);Ángel;00000031.CSP Pendiente de autorización por la oficina. Fecha vencimiento el 28/04. Cedido a Adeudos el 23/04 a primera hora.
NH Hoteles;IMP_0132_16;24/03/2014;01/01/2010;BEC;Swift Fileact;10000000051;Integrado;Finalizado;KO;00000046.CSP;Adeudos directos 19.14 (Sepa);Ángel;00000046.CSP. Rechazado por la fecah de vencimiento en SSTT, Core1 enviado el 26/03 con fecha vencimeinto mismo 26/03.
NH Hoteles;IMP_0132_16;26/03/2014;01/01/2010;BEC;Swift Fileact;10000000051;Integrado;Finalizado;KO;00000048.CSP;Adeudos directos 19.14 (Sepa);Ángel;00000048.CSP (ID acreedor incorrecto)
NH Hoteles;IMP_0132_16;31/03/2014;01/01/2010;BEC;Swift Fileact;10000000051;Integrado;Finalizado;KO;00000050.CSP;Adeudos directos 19.14 (Sepa);Ángel;00000050.CSP (la fecha de vencimiento es anterior a la de presentación)
NH Hoteles;IMP_0132_16;04/03/2014;01/01/2010;BEC;Swift Fileact;10000000051;Integrado;Cancelado;;;Adeudos directos 19.14 (Sepa);Ángel;
NH Hoteles;IMP_0132_20;13/01/2014;01/01/2010;BEC;Swift Fileact;10000000017;Producción;Finalizado;KO;;Euroconfirming;Ángel;El fichero ha sido descartado por un error en la configuración del nombre dedicado del fichero.
NH Hoteles;IMP_0132_20;14/01/2014;01/01/2010;BEC;Swift Fileact;10000000017;Producción;Finalizado;KO;00000002.CNR;Euroconfirming;Ángel;00000002.CNR (diversos errores)
NH Hoteles;IMP_0132_20;17/12/2013;01/01/2010;BEC;Swift Fileact;10000000051;Integrado;Finalizado;KO;00000022.CNR;Euroconfirming;Ángel;00000022.CNR (banco presentador era incorrecto)
NH Hoteles;IMP_0132_20;17/12/2013;01/01/2010;BEC;Swift Fileact;10000000051;Integrado;Finalizado;OK;00000023.CNR;Euroconfirming;Ángel;00000023.CNR
NH Hoteles;IMP_0132_20;21/01/2014;01/01/2010;BEC;Swift Fileact;10000000017;Producción;Finalizado;KO;00000004.CNR;Euroconfirming;Ángel;00000004.CNR (problemas con el folio de confirming)
NH Hoteles;IMP_0132_20;21/01/2014;01/01/2010;BEC;Swift Fileact;10000000017;Producción;Finalizado;KO;00000005.CNR;Euroconfirming;Ángel;00000005.CNR (problemas con el folio de confirming)
NH Hoteles;IMP_0132_20;22/01/2014;01/01/2010;BEC;Swift Fileact;10000000017;Producción;Finalizado;OK;00000006.CNR;Euroconfirming;Ángel;00000006.CNR
NH Hoteles;IMP_0132_20;22/05/2014;01/01/2010;BEC;Swift Fileact;10000000017;Producción;Finalizado;OK;00000033.CNR;Euroconfirming;Cristina;00000033.CNR
NH Hoteles;IMP_0132_21;13/01/2014;01/01/2010;BEC;Swift Fileact;NHSAESMMXXX;Producción;Finalizado;OK;MT101911.OMF;MT101;Ángel;MT101911.OMF
OBERTHUR;IMP_0114_77;04/02/2014;01/01/2010;BEC;Swift Fileact;10000000115;Producción;Finalizado;KO;00000002.FIT;Transferencias 34.14;Ángel;00000002.FIT (han puesto la cuenta de test
OBERTHUR;IMP_0114_77;04/02/2014;01/01/2010;BEC;Swift Fileact;10000000115;Producción;Finalizado;OK;00000004.FIT;Transferencias 34.14;Ángel;00000004.FIT
OBERTHUR;IMP_0114_77;04/02/2014;01/01/2010;BEC;Swift Fileact;10000000115;Producción;Finalizado;OK;00000006.FIT;Transferencias 34.14;Ángel;00000006.FIT
OBERTHUR;IMP_0114_76;10/01/2014;01/01/2010;BEC;Swift Fileact;10000000115;Producción;Finalizado;OK;;MT940;Ángel;Correcto el primer envío, se ha generado y está en IMG.
OBERTHUR;;11/02/2014;01/01/2010;BEC;Swift Fileact;10000000101;Integrado;Cancelado;;;Órdenes pago internacionales en fichero;Ángel;El cliente no puede realizar las purebas
OBERTHUR;;16/01/2014;01/01/2010;BEC;Swift Fileact;10000000101;Integrado;Cancelado;;;Órdenes pago internacionales en fichero;Ángel;
OBERTHUR;;09/01/2014;01/01/2010;BEC;Swift Fileact;10000000101;Integrado;Finalizado;KO;;Órdenes pago internacionales en fichero;Ángel;Rechazado por errores en las condiciones de salida (Ángel)
PERFETTI VAN MELLE;IMP_0115_556;10/01/2014;01/01/2010;BEC;Swift Fileact;10000000100;Integrado;Finalizado;KO;00000061.CSP;Adeudos directos 19.14 (Sepa);Alba;00000061.CSP (Más de un adeudo con la misma referencia)
PERFETTI VAN MELLE;IMP_0115_556;13/02/2014;01/01/2010;BEC;Swift Fileact;10000000112;Producción;Cancelado;;;Adeudos directos 19.14 (Sepa);Alba;
PERFETTI VAN MELLE;IMP_0115_556;14/02/2014;01/01/2010;BEC;Swift Fileact;10000000112;Producción;Finalizado;kO;;Adeudos directos 19.14 (Sepa);Alba;Ha fallado por nombre en infraestructura global
PERFETTI VAN MELLE;IMP_0115_556;20/06/2014;01/01/2010;BEC;Swift Fileact;10000000112;Producción;Finalizado;OK;00000220.CSP;Adeudos directos 19.14 (Sepa);Alba;00000220.CSP (fecha de ejecución 26/06/2014)
PERFETTI VAN MELLE;IMP_0115_556;09/01/2014;01/01/2010;BEC;Swift Fileact;10000000100;Integrado;Finalizado;KO;00000056.CSP;Adeudos directos 19.14 (Sepa);Alba;00000056.CSP: Rechazado por la oficina.
