ABERTIS;;29/07/2014;;;FileAct;ABIRESB0XXX;Integrado;FINALIZADO;OK;;MT101;Nacho;Con importe 1. No ha llegado a SSTT. En la oficina correctora, se ha autorizado. No se ceden a la aplicación, se reclama a SSTT. Se lo han pasado a RA el 31/07 continúa sin cederse.Se cede el 01/08 por la tarde. Saldo insuficiente, se autoriza.;;;;;;;;;;;;
ABERTIS;;13/08/2014;;;FileAct;10000000089;Integrado;FINALIZADO;OK;00000018.FIT;Transferencias 34.14;Nacho;00000018.FIT. No se ha cedido hasta las 17:25h del 14/08.;;;;;;;;;;;;
ABERTIS;;13/08/2014;;;FileAct;10000000089;Integrado;FINALIZADO;OK;00000015.FIT;Transferencias 34.14;Nacho;00000015.FIT. No se ha cedido hasta las 17:25h del 14/08.;;;;;;;;;;;;
ABERTIS;;13/08/2014;;;FileAct;10000000089;Integrado;FINALIZADO;OK;00000016.FIT;Transferencias 34.14;Nacho;00000016.FIT. No se ha cedido hasta las 17:25h del 14/08.;;;;;;;;;;;;
ABERTIS;;18/11/2014;;;FileAct;10000000101;Producción;FINALIZADO;OK;00000004.FIT;Transferencias 34.14;Nacho;00000004.FIT;;;;;;;;;;;;
ABERTIS;;06/08/2014;;;FileAct;10000000089;Integrado;FINALIZADO;KO;00000004.FIT;Transferencias 34.14;Nacho;No ha llegado a SSTT, problemas en IMG. 00000004.FIT, llega con cuenta ordenante de otra entidad.;;;;;;;;;;;;
ABERTIS;;07/08/2014;;;FileAct;10000000089;Integrado;FINALIZADO;KO;00000005.FIT;Transferencias 34.14;Nacho;No ha llegado a SSTT, problemas en IMG. 00000005.FIT, llega con cuenta ordenante de otra entidad.;;;;;;;;;;;;
AIRBUS;;07/01/2014;;;FileAct;10000000001;Producción;CANCELADO;;;Nóminas 34.14;Cristina;Sin confirmar la fecha, pendiente de la filial EADS-CASA;;;;;;;;;;;;
AIRBUS;;10/04/2014;;;FileAct;AIRBUS;Integrado;FINALIZADO;OK;06001143.TIN;Órdenes pago internacionales en fichero;Cristina;06001143.TIN;;;;;;;;;;;;
AIRBUS;;11/06/2014;;;FileAct;10000000001;Producción;PENDIENTE;;;Órdenes pago internacionales en fichero;Cristina;;;;;;;;;;;;;
AIRBUS;;17/06/2014;;;FileAct;10000000001;Producción;FINALIZADO;OK;06010064.TIN;Órdenes pago internacionales en fichero;Cristina;06010064.TIN;;;;;;;;;;;;
AIRBUS;;18/03/2014;;;FileAct;AIRBUS;Integrado;FINALIZADO;KO;06001115.TIN;Órdenes pago internacionales en fichero;Cristina;06001115.TIN (la cuenta no existe en integrado);;;;;;;;;;;;
AIRBUS;;19/02/2014;;;FileAct;AIRBUS;Integrado;CANCELADO;;;Órdenes pago internacionales en fichero;Cristina;;;;;;;;;;;;;
AIRBUS;;20/02/2014;;;FileAct;10000000001;Producción;FINALIZADO;OK;06009686.TIN;Órdenes pago internacionales en fichero;Cristina;06009686.TIN (fecha 25/02/2014);;;;;;;;;;;;
AIRBUS;;24/04/2014;;;FileAct;AIRBUS;Integrado;FINALIZADO;KO;06001145.TIN;Órdenes pago internacionales en fichero;Cristina;06001145.TIN El fichero no es visible en 3270 (se abre remedy). Rechazado-cuenta inexistente en el entorno integrado.;;;;;;;;;;;;
AIRBUS;;24/04/2014;;;FileAct;AIRBUS;Integrado;FINALIZADO;OK;06001150.TIN;Órdenes pago internacionales en fichero;Cristina;06001150.TIN El fichero no es visible en 3270 (se abre remedy) No ha cambiado situación en 3270, pero nos confirman desde COMEX que todo ha sido correcto.;;;;;;;;;;;;
AIRBUS;;24/04/2014;;;FileAct;AIRBUS;Integrado;FINALIZADO;OK;06001152.TIN;Órdenes pago internacionales en fichero;Cristina;06001152.TIN El fichero no es visible en 3270 (se abre remedy). No ha cambiado situación en 3270, pero nos confirman desde COMEX que todo ha sido correcto.;;;;;;;;;;;;
AIRBUS;;24/04/2014;;;FileAct;AIRBUS;Integrado;FINALIZADO;KO;06001147.TIN;Órdenes pago internacionales en fichero;Cristina;06001147.TIN El fichero no es visible en 3270 (se abre remedy). Rechazado-cuenta inexistente en el entorno integrado.;;;;;;;;;;;;
AIRBUS;;24/03/2014;;;FileAct;AIRBUS;Integrado;FINALIZADO;KO;;Órdenes pago internacionales en fichero;Cristina;Rechazado por cuenta no existente en Integrado. Rechazado por SSTT.;;;;;;;;;;;;
AIRBUS;;31/01/2014;;;FileAct;AIRBUS;Integrado;CANCELADO;;;Órdenes pago internacionales en fichero;Cristina;;;;;;;;;;;;;
AIRBUS;;05/02/2014;;;FileAct;AIRBUS;Integrado;FINALIZADO;KO;06001084.TIN;Órdenes pago internacionales en fichero;Cristina;06001084.TIN (la cuenta no existe en Integrado);;;;;;;;;;;;
AIRBUS;;05/02/2014;;;FileAct;AIRBUS;Integrado;FINALIZADO;OK;06001088.TIN;Órdenes pago internacionales en fichero;Cristina;06001088.TIN;;;;;;;;;;;;
AIRBUS;;05/05/2014;;;FileAct;AIRBUS;Integrado;FINALIZADO;KO;06001155.TIN;Órdenes pago internacionales en fichero;Cristina;06001155.TIN (la cuenta no existe en integrado);;;;;;;;;;;;
AIRBUS;;05/05/2014;;;FileAct;AIRBUS;Integrado;FINALIZADO;KO;06001157.TIN;Órdenes pago internacionales en fichero;Cristina;06001157.TIN (la cuenta no existe en integrado);;;;;;;;;;;;
AIRBUS;;05/05/2014;;;FileAct;AIRBUS;Integrado;FINALIZADO;OK;06001158.FIT;Órdenes pago internacionales en fichero;Cristina;06001158.FIT;;;;;;;;;;;;
