EUROPCAR;IMP_0016_122;13/01/2014;01/01/2010;BEC;Swift Fileact;10000000053;Integrado;Cancelado;KO;;Nóminas 34.14;Ángel;
EUROPCAR;IMP_0016_121;25/03/2014;01/01/2010;BEC;Swift Fileact;1,00E+10;Integrado;Finalizado;OK;00000018.FIT;Transferencias 34.14;Ángel;00000018.FIT
EUROPCAR;IMP_0016_125;21/04/2014;01/01/2010;BEC;Swift Fileact;ECARFR22XXX;Producción;Finalizado;OK;MT101482.OMF;MT101;Cristina;MT101482.OMF (Pedido el seguimiento el 12/05/2014. Fichero enviado el 07/05/2014)
EUROPCAR;IMP_0016_125;28/03/2014;01/01/2010;BEC;Swift Fileact;ECARFR22XXX;Integrado;Finalizado;KO;MT101367.OMF;MT101;Cristina;MT101367.OMF (Cta. Ord. errónea)
EUROPCAR;IMP_0016_125;28/03/2014;01/01/2010;BEC;Swift Fileact;ECARFR22XXX;Integrado;Finalizado;KO;MT101372.OMF;MT101;Cristina;MT101372.OMF (Cta. Ord. errónea)
EUROPCAR;IMP_0016_125;09/04/2014;01/01/2010;BEC;Swift Fileact;ECARFR22XXX;Integrado;Finalizado;KO;MT101491.OMF;MT101;Cristina;MT101491.OMF (fuera de plazo)
EUROPCAR;IMP_0016_125;09/04/2014;01/01/2010;BEC;Swift Fileact;ECARFR22XXX;Integrado;Finalizado;KO;MT101945.OMF;MT101;Cristina;MT101945.OMF (fuera de plazo)
EUROPCAR;IMP_0016_125;09/04/2014;01/01/2010;BEC;Swift Fileact;ECARFR22XXX;Integrado;Finalizado;KO;MT101084.OMF;MT101;Cristina;MT101084.OMF (fuera de hora)
EUROPCAR;IMP_0016_125;09/04/2014;01/01/2010;BEC;Swift Fileact;ECARFR22XXX;Integrado;Finalizado;KO;MT101278.OMF;MT101;Cristina;MT101278.OMF (fuera de hora)
EUROPCAR;IMP_0016_125;21/04/2014;01/01/2010;BEC;Swift Fileact;ECARFR22XXX;Producción;Finalizado;OK;MT101434.TIN;MT101;Cristina;MT101434.TIN (Pedido el seguimiento el 12/05/2014. Fichero enviado el 07/05/2014)
EUROPCAR;IMP_0016_125;28/03/2014;01/01/2010;BEC;Swift Fileact;ECARFR22XXX;Integrado;Finalizado;KO;MT101750.TIN;MT101;Cristina;MT101750.TIN (Cta. Ord. errónea)
EUROPCAR;IMP_0016_125;28/03/2014;01/01/2010;BEC;Swift Fileact;ECARFR22XXX;Integrado;Finalizado;KO;MT101004.TIN;MT101;Cristina;MT101004.TIN (Cta. Ord. errónea)
EUROPCAR;IMP_0016_125;09/04/2014;01/01/2010;BEC;Swift Fileact;ECARFR22XXX;Integrado;Finalizado;OK;MT101378.TIN;MT101;Cristina;MT101378.TIN
EUROPCAR;IMP_0016_125;09/04/2014;01/01/2010;BEC;Swift Fileact;ECARFR22XXX;Integrado;Finalizado;OK;MT101659.TIN;MT101;Cristina;MT101659.TIN
EUROPCAR;IMP_0016_125;09/04/2014;01/01/2010;BEC;Swift Fileact;ECARFR22XXX;Integrado;Finalizado;OK;MT101630.TIN;MT101;Cristina;MT101630.TIN
EUROPCAR;IMP_0016_125;09/04/2014;01/01/2010;BEC;Swift Fileact;ECARFR22XXX;Integrado;Finalizado;OK;MT101779.TIN;MT101;Cristina;MT101779.TIN
EUROPCAR;IMP_0016_125;20/05/2014;01/01/2010;BEC;Swift Fileact;ECARFR22XXX;Producción;Finalizado;OK;MT101500.OMF;MT101;Ángel;MT101500.OMF
FIESTA HOTELS RESORTS;IMP_0112_564;24/04/2014;01/01/2010;BEC;Swift FIN;PHGPES22XXX;Producción;Finalizado;OK;;MT940;N/A;MT940 para nuevas cuentas de Residencial Es Vive
FRIT RAVICH;IMP_0002_586;08/04/2014;01/01/2010;BEC;Swift Fileact;1,00E+10;Producción;Finalizado;OK;;AEB43;Ángel Díaz;
