INDITEX;;10/12/2014;01/01/2010;BEC;H2H;10000000097;Integrado;Finalizado;OK;34002256.TIG;Pagos internacionales Londres;Alba;34002256.TIG
REPSOL ESPAÑA;IMP_0118_507;17/01/2014;01/01/2010;CIB;Swift Fileact;10000000054;Integrado;Finalizado;OK;00001125.CSX;Adeudos directos 19.44 (Sepa B2B);Andrés;00001125.CSX
RIUSA;;02/06/2014;01/01/2010;BEC;Swift Fileact;10000000125;Integrado;Finalizado;OK;00000002.FIM;Nóminas 34.14;Ángel;00000002.FIM
SOLVAY;;09/12/2014;01/01/2010;CIB;Swift Fileact;10000000008;Integrado;Finalizado;OK;09003581.CNF;Confirming de clientes;Natalia;09003581.CNF
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
